Column1,Typo,Target,Match 1,Column2,Match 2,Column3,Match 3,Column4,
21,Acetylsalicylic acd,Acetylsalicylic acid,Acetylsalicylic acid,1,P-aminosalicylic acid,0,Salicylic acid,0,
22,AcicloWvir,Aciclovir,Aciclovir,1,Abacavir,0,Succimer,0,
23,AAcicloWvir,Aciclovir,Aciclovir,1,Abacavir,0,Succimer,0,
24,AdalimumaIb,Adalimumab,Adalimumab,1,Delamanid,0,Tioguanine,0,
25,AdalimwumaIb,Adalimumab,Adalimumab,1,Delamanid,0,Tioguanine,0,
26,Adaliumab,Adalimumab,Nivolumab,0,Imatinib,0,Adalimumab,1,
27,Adaliuab,Adalimumab,Iodine,0,Ethanol,0,Timolol,0,
28,Albendzole,Albendazole,Albendazole,1,Mebendazole,0,Linezolid,0,
29,AlbendzolAlbendzole,Albendazole,Benzyl benzoate,0,Benzylpenicillin,0,Benzoyl peroxide,0,
30,AlbendazAole,Albendazole,Albendazole,1,Mebendazole,0,Methimazole,0,
31,Alcobol based hand rub,Alcohol based hand rub,Alcohol based hand rub,1,Acetylcysteine,0,Paliperidone,0,
32,ll-trans retinoic acid,All-trans retinoic acid,All-trans retinoic acid,1,Tranexamic acid,0,P-aminosalicylic acid,0,
33,ll-transretinoic acid,All-trans retinoic acid,All-trans retinoic acid,1,Tranexamic acid,0,Zoledronic acid,0,
34,All-tranqs retinoic acid,All-trans retinoic acid,All-trans retinoic acid,1,Tranexamic acid,0,P-aminosalicylic acid,0,
35,All-tranqs retinoic Wacid,All-trans retinoic acid,All-trans retinoic acid,1,Tranexamic acid,0,P-aminosalicylic acid,0,
36,Allpurinol,Allopurinol,Allopurinol,1,Haloperidol,0,Salbutamol,0,
37,Allprinol,Allopurinol,Allopurinol,1,Ulipristal,0,Haloperidol,0,
38,AlteplaVse,Alteplase,Alteplase,1,Lactulose,0,Glucose,0,
39,AlteIlase,Alteplase,Alteplase,1,Lactulose,0,Glucose,0,
40,AmidotrizoNate,Amidotrizoate,Amidotrizoate,1,Methotrexate,0,Ethosuximide,0,
41,AmidotrizoNIate,Amidotrizoate,Amidotrizoate,1,Methotrexate,0,Ethosuximide,0,
42,AmikacJin,Amikacin,Amikacin,1,Glucagon,0,Oxytocin,0,
43,AmikacxJin,Amikacin,Amikacin,1,Amoxicillin,0,Glucagon,0,
44,AWikacin,Amikacin,Calcium,0,Oxygen,0,Amikacin,1,
45,ADikacin,Amikacin,Amikacin,1,Atracurium,0,Natamycin,0,
46,Amilorie,Amiloride,Amiloride,1,Enalapril,0,Imatinib,0,
47,Amilrie,Amiloride,Amiloride,1,Quinine,0,Timolol,0,
48,Amiodaone,Amiodarone,Halothane,0,Imatinib,0,Amodiaquine,0,
49,Amiydarone,Amiodarone,Amiodarone,1,Amodiaquine,0,Ephedrine,0,
50,AZmitriptyline,Amitriptyline,Amitriptyline,1,Abiraterone,0,Azithromycin,0,
51,AmiOriptyline,Amitriptyline,Amitriptyline,1,Abiraterone,0,Meropenem,0,
52,AmiOriptylBne,Amitriptyline,Amitriptyline,1,Abiraterone,0,Amoxicillin,0,
53,AmloKipine,Amlodipine,Amlodipine,1,Cycloserine,0,Clozapine,0,
54,AmQoKipine,Amlodipine,Amlodipine,1,Oxamniquine,0,Amoxicillin,0,
55,Amlodipmine,Amlodipine,Amlodipine,1,Amiodarone,0,Gemcitabine,0,
56,Amlokdipmine,Amlodipine,Amlodipine,1,Neostigmine,0,Azathioprine,0,
57,Amodiaquinze,Amodiaquine,Amodiaquine,1,Amiodarone,0,Cefotaxime,0,
58,Amodiaquinzie,Amodiaquine,Amodiaquine,1,Amiodarone,0,Cefotaxime,0,
59,AmodiIquine,Amodiaquine,Amodiaquine,1,Amiodarone,0,Naloxone,0,
60,AmodhIquine,Amodiaquine,Amodiaquine,1,Amiodarone,0,Naloxone,0,
61,AmodiaqKine,Amodiaquine,Amodiaquine,1,Amiodarone,0,Pyridoxine,0,
62,Amoxicilin,Amoxicillin,Amoxicillin,1,Cloxacillin,0,Enoxaparin,0,
63,AmoxiciliAmoxicilin,Amoxicillin,Phenoxymethylpenicillin,0,Moxifloxacin,0,Benzylpenicillin,0,
64,AmYoxicillin,Amoxicillin,Amoxicillin,1,Cloxacillin,0,Enoxaparin,0,
65,Amoxcillin,Amoxicillin,Amoxicillin,1,Ampicillin,0,Amikacin,0,
66,Amoxillin,Amoxicillin,Linezolid,0,Amoxicillin,1,Amikacin,0,
67,AmoxiciOlin/clavulanic acid,Amoxicillin/clavulanic acid,Amoxicillin/clavulanic acid,1,Acetylsalicylic acid,0,P-aminosalicylic acid,0,
68,AmoxiciOlin/clavulanic acivAmoxiciOlin/clavulanic acid,Amoxicillin/clavulanic acid,Amoxicillin/clavulanic acid,1,Isoniazid/pyridoxine/sulfamethoxazole/trimethoprim,0,Ethambutol/isoniazid/pyrazinamide/rifampicin,0,
69,Amoxicillin/clavulanic acivAmoxicillin/clavulanic acid,Amoxicillin/clavulanic acid,Amoxicillin/clavulanic acid,1,Isoniazid/pyridoxine/sulfamethoxazole/trimethoprim,0,Ethambutol/isoniazid/pyrazinamide/rifampicin,0,
70,Amoxicillin/Nlavulanic acivAmoxicillin/clavulanic acid,Amoxicillin/clavulanic acid,Amoxicillin/clavulanic acid,1,Isoniazid/pyridoxine/sulfamethoxazole/trimethoprim,0,Ethambutol/isoniazid/pyrazinamide/rifampicin,0,
71,AGmphotericin B,Amphotericin B,Amphotericin B,1,Natamycin,0,Mupirocin,0,
72,AGmphotericHin B,Amphotericin B,Amphotericin B,1,Natamycin,0,Mupirocin,0,
73,Aphotericin B,Amphotericin B,Amphotericin B,1,Polymyxin B,0,Levothyroxine,0,
74,Apicillin,Ampicillin,Ampicillin,1,Abacavir,0,Tuberculin,0,
75,ApicilliApicillin,Ampicillin,Benzylpenicillin,0,Cloxacillin,0,Bicalutamide,0,
76,AnastrozoTe,Anastrozole,Anastrozole,1,Amidotrizoate,0,Amodiaquine,0,
77,AnaOtrozoTe,Anastrozole,Omeprazole,0,Anastrozole,1,Methotrexate,0,
78,AnastrLozole,Anastrozole,Anastrozole,1,Omeprazole,0,Methimazole,0,
79,AnastroAole,Anastrozole,Anastrozole,1,Amiodarone,0,Ephedrine,0,
80,AnasLroAole,Anastrozole,Amiloride,0,Amiodarone,0,Anastrozole,1,
81,Anti-rabies immunoglobElin,Anti-rabies immunoglobulin,Anti-rabies immunoglobulin,1,Equine rabies immunoglobulin,0,Anti-tetanus immunoglobulin,0,
82,Anti-rabies impunoglobulin,Anti-rabies immunoglobulin,Anti-rabies immunoglobulin,1,Equine rabies immunoglobulin,0,Antivenom immunoglobulin,0,
83,AntiNrabies impunoglobulin,Anti-rabies immunoglobulin,Anti-rabies immunoglobulin,1,Equine rabies immunoglobulin,0,Antivenom immunoglobulin,0,
84,Apnti-rabies immunoglobulin,Anti-rabies immunoglobulin,Anti-rabies immunoglobulin,1,Equine rabies immunoglobulin,0,Antivenom immunoglobulin,0,
85,Anti-tetanus immunoglbulin,Anti-tetanus immunoglobulin,Anti-tetanus immunoglobulin,1,Anti-rabies immunoglobulin,0,Antivenom immunoglobulin,0,
86,Anti-tetanus immunogobulin,Anti-tetanus immunoglobulin,Anti-tetanus immunoglobulin,1,Anti-rabies immunoglobulin,0,Antivenom immunoglobulin,0,
87,Anti-tetaus immunogobulin,Anti-tetanus immunoglobulin,Anti-tetanus immunoglobulin,1,Anti-rabies immunoglobulin,0,Antivenom immunoglobulin,0,
88,Antivenom imQunoglobulin,Antivenom immunoglobulin,Antivenom immunoglobulin,1,Anti-rabies immunoglobulin,0,Normal immunoglobulin,0,
89,Anivenom immunoglobulin,Antivenom immunoglobulin,Antivenom immunoglobulin,1,Normal immunoglobulin,0,Anti-rabies immunoglobulin,0,
90,ApreKitant,Aprepitant,Aprepitant,1,Atracurium,0,Abacavir,0,
91,Apepitant,Aprepitant,Aprepitant,1,Rifabutin,0,Biperiden,0,
92,Asenic trioxide,Arsenic trioxide,Arsenic trioxide,1,Amidotrizoate,0,Anastrozole,0,
93,ArtemeVher,Artemether,Artemether,1,Darunavir,0,Entecavir,0,
94,Artemetier,Artemether,Artemether,1,Darunavir,0,Entecavir,0,
95,Artemether/lumefantrine,Artemether/lumefantrine,Artemether/lumefantrine,1,Abacavir/lamivudine,0,Artesunate/amodiaquine,0,
96,Artemether/lumfantrine,Artemether/lumefantrine,Artemether/lumefantrine,1,Abacavir/lamivudine,0,Artesunate/amodiaquine,0,
97,Artmether/lumfantrine,Artemether/lumefantrine,Artemether/lumefantrine,1,Abacavir/lamivudine,0,Artesunate/amodiaquine,0,
98,Arhtesunate,Artesunate,Artesunate,1,Ethionamide,0,Furosemide,0,
99,ArhtesuAnate,Artesunate,Artesunate,1,Ethionamide,0,Furosemide,0,
100,ArtesunatzArtesunate,Artesunate,Artesunate/amodiaquine,0,Artesunate/mefloquine,0,Potassium permanganate,0,
101,Artesunte,Artesunate,Artesunate,1,Artemether,0,Lidocaine,0,
102,Artesunate/amodiagquine,Artesunate/amodiaquine,Artesunate/amodiaquine,1,Artesunate/mefloquine,0,Budesonide/formoterol,0,
103,Artesunate/camodiagquine,Artesunate/amodiaquine,Artesunate/amodiaquine,1,Artesunate/mefloquine,0,Budesonide/formoterol,0,
104,Artesunate/mefloUuine,Artesunate/mefloquine,Artesunate/mefloquine,1,Artesunate/amodiaquine,0,Lidocaine/epinephrine,0,
105,Artesunate/meloquine,Artesunate/mefloquine,Artesunate/mefloquine,1,Artesunate/amodiaquine,0,Xylometazoline,0,
106,Artesunate/meflotquine,Artesunate/mefloquine,Artesunate/mefloquine,1,Artesunate/amodiaquine,0,Budesonide/formoterol,0,
107,Artesunate/pyronaridine teraphosphate,Artesunate/pyronaridine tetraphosphate,Artesunate/pyronaridine tetraphosphate,1,Isoniazid/pyrazinamide/rifampicin,0,Dihydroartemisinin/piperaquine phosphate,0,
108,Artesunae/pyronaridine teraphosphate,Artesunate/pyronaridine tetraphosphate,Artesunate/pyronaridine tetraphosphate,1,Isoniazid/pyrazinamide/rifampicin,0,Lisinopril/hydrochlorothiazide,0,
109,Akrtesunate/pyronaridine tetraphosphate,Artesunate/pyronaridine tetraphosphate,Artesunate/pyronaridine tetraphosphate,1,Isoniazid/pyrazinamide/rifampicin,0,Dihydroartemisinin/piperaquine phosphate,0,
110,Artesunate/pyronaridine tetraKhosphate,Artesunate/pyronaridine tetraphosphate,Artesunate/pyronaridine tetraphosphate,1,Isoniazid/pyrazinamide/rifampicin,0,Lisinopril/hydrochlorothiazide,0,
111,ArtesunYte/pyronaridine tetraKhosphate,Artesunate/pyronaridine tetraphosphate,Artesunate/pyronaridine tetraphosphate,1,Isoniazid/pyrazinamide/rifampicin,0,Lisinopril/hydrochlorothiazide,0,
112,Ascorbic aGid,Ascorbic acid,Ascorbic acid,1,Acetic acid,0,Valproic acid,0,
113,Asaraginase,Asparaginase,Asparaginase,1,Everolimus,0,Deferoxamine,0,
114,Asaragnase,Asparaginase,Asparaginase,1,Rasburicase,0,Everolimus,0,
115,Asparraginase,Asparaginase,Asparaginase,1,Abiraterone,0,Paromomycin,0,
116,AsparraginaXse,Asparaginase,Asparaginase,1,Rasburicase,0,Abiraterone,0,
117,Atazanavir/ritYnavir,Atazanavir/ritonavir,Atazanavir/ritonavir,1,Lopinavir/ritonavir,0,Ledipasvir/sofosbuvir,0,
118,AtracuriCm,Atracurium,Atracurium,1,Hydrocortisone,0,Irinotecan,0,
119,AtraLuriCm,Atracurium,Atracurium,1,Hydralazine,0,Atropine,0,
120,Atracurim,Atracurium,Atracurium,1,Hydralazine,0,Ampicillin,0,
121,Atopine,Atropine,Atropine,1,Lidocaine,0,Methadone,0,
122,AtrGopine,Atropine,Atropine,1,Tetracaine,0,Tioguanine,0,
123,AtrGoEpine,Atropine,Atropine,1,Tetracaine,0,Tioguanine,0,
124,AtrAopine,Atropine,Atropine,1,Cytarabine,0,Tiotropium,0,
125,Azathiopgrine,Azathioprine,Azathioprine,1,Epinephrine,0,Amiodarone,0,
126,Azatyhiopgrine,Azathioprine,Azathioprine,1,Epinephrine,0,Amiodarone,0,
127,Azathikoprine,Azathioprine,Azathioprine,1,Fludarabine,0,Zidovudine,0,
128,PAzathioprine,Azathioprine,Azathioprine,1,Nifedipine,0,Abiraterone,0,
129,AGithromycin,Azithromycin,Azithromycin,1,Erythromycin,0,Gentamicin,0,
130,AGivhromycin,Azithromycin,Azithromycin,1,Erythromycin,0,Gentamicin,0,
131,Azithrolycin,Azithromycin,Azithromycin,1,Erythromycin,0,Doxorubicin,0,
132,Azithrolylin,Azithromycin,Azithromycin,1,Erythromycin,0,Leuprorelin,0,
133,Barium sulate,Barium sulfate,Barium sulfate,1,Pyrimethamine,0,Heparin sodium,0,
134,Barium sulae,Barium sulfate,Heparin sodium,0,Pyrantel,0,Ferrous salt,0,
135,Bariu sulfate,Barium sulfate,Barium sulfate,1,Zinc sulfate,0,Budesonide,0,
136,ariu sulfate,Barium sulfate,Barium sulfate,1,Zinc sulfate,0,Artesunate,0,
137,Oarium sulfate,Barium sulfate,Barium sulfate,1,Zinc sulfate,0,Sodium thiosulfate,0,
138,Oarium sulfUte,Barium sulfate,Barium sulfate,1,Zinc sulfate,0,Sodium thiosulfate,0,
139,aCG vaccine,BCG vaccine,BCG vaccine,1,Dengue vaccine,0,Cefixime,0,
140,Bedaquisine,Bedaquiline,Bedaquiline,1,Bupivacaine,0,Budesonide,0,
141,Uedaquiline,Bedaquiline,Bedaquiline,1,Midazolam,0,Etoposide,0,
142,BendamustinzBendamustine,Bendamustine,Ceftazidime/avibactam,0,Phenoxymethylpenicillin,0,Artemether/lumefantrine,0,
143,endamustine,Bendamustine,Bendamustine,1,Pentamidine,0,Gentamicin,0,
144,Benzathine benzylpeicillin,Benzathine benzylpenicillin,Benzathine benzylpenicillin,1,Procaine benzylpenicillin,0,Phenoxymethylpenicillin,0,
145,Benzathine benzylpenicilltin,Benzathine benzylpenicillin,Benzathine benzylpenicillin,1,Procaine benzylpenicillin,0,Phenoxymethylpenicillin,0,
146,Benzathinse benzylpenicilltin,Benzathine benzylpenicillin,Benzathine benzylpenicillin,1,Procaine benzylpenicillin,0,Phenoxymethylpenicillin,0,
147,BenzathiNe benzylpenicillin,Benzathine benzylpenicillin,Benzathine benzylpenicillin,1,Procaine benzylpenicillin,0,Phenoxymethylpenicillin,0,
148,BenzathiNe benzylpeiicillin,Benzathine benzylpenicillin,Benzathine benzylpenicillin,1,Procaine benzylpenicillin,0,Phenoxymethylpenicillin,0,
149,Benzniazole,Benznidazole,Benznidazole,1,Methimazole,0,Miconazole,0,
150,Benznidazle,Benznidazole,Benznidazole,1,Fexinidazole,0,Pentamidine,0,
151,enznidazle,Benznidazole,Benznidazole,1,Mannitol,0,Fexinidazole,0,
152,Benzidazole,Benznidazole,Benznidazole,1,Pyridoxine,0,Fomepizole,0,
153,senzoyl peroxide,Benzoyl peroxide,Benzoyl peroxide,1,Benzyl benzoate,0,Calcium folinate,0,
154,Banzoyl peroxide,Benzoyl peroxide,Benzoyl peroxide,1,Benzyl benzoate,0,Benzylpenicillin,0,
155,Benzoyl peroide,Benzoyl peroxide,Benzoyl peroxide,1,Benzyl benzoate,0,Amiloride,0,
156,Benoyl peroide,Benzoyl peroxide,Benzyl benzoate,0,Benzoyl peroxide,1,Amiloride,0,
157,Benzyl benpoate,Benzyl benzoate,Benzyl benzoate,1,Benzoyl peroxide,0,Benzylpenicillin,0,
158,Benzyl benToate,Benzyl benzoate,Benzyl benzoate,1,Benzoyl peroxide,0,Lenalidomide,0,
159,Benzyl bengzoate,Benzyl benzoate,Benzyl benzoate,1,Benzoyl peroxide,0,Benzylpenicillin,0,
160,Bejnzyl bengzoate,Benzyl benzoate,Benzyl benzoate,1,Benzoyl peroxide,0,Benzylpenicillin,0,
161,Benzylpenicilin,Benzylpenicillin,Benzylpenicillin,1,Benzyl benzoate,0,Benzoyl peroxide,0,
162,Benzlpenicilin,Benzylpenicillin,Benzylpenicillin,1,Ampicillin,0,Amoxicillin,0,
163,Betamehasone,Betamethasone,Bedaquiline,0,Bendamustine,0,Betamethasone,1,
164,Betamethnsone,Betamethasone,Betamethasone,1,Dexamethasone,0,Pentamidine,0,
165,BetamethnsAne,Betamethasone,Betamethasone,1,Dexamethasone,0,Pentamidine,0,
166,Bevbacizumab,Bevacizumab,Bevacizumab,1,Bortezomib,0,Cefotaxime,0,
167,Bevbacizukmab,Bevacizumab,Bevacizumab,1,Cefotaxime,0,Pyridoxine,0,
168,lBevacizumab,Bevacizumab,Bevacizumab,1,Cefuroxime,0,Paracetamol,0,
169,lBevacizuKmab,Bevacizumab,Bevacizumab,1,Pyridoxine,0,Bortezomib,0,
170,Bevaczumab,Bevacizumab,Bevacizumab,1,Cefixime,0,Bortezomib,0,
171,Bicalurtamide,Bicalutamide,Bicalutamide,1,Lenalidomide,0,Niclosamide,0,
172,BicaYlurtamide,Bicalutamide,Bicalutamide,1,Lenalidomide,0,Niclosamide,0,
173,BicalButamide,Bicalutamide,Bicalutamide,1,Lenalidomide,0,Thalidomide,0,
174,Biperidgen,Biperiden,Biperiden,1,Bupropion,0,Dabigatran,0,
175,Biperildgen,Biperiden,Biperiden,1,Dabigatran,0,Tuberculin,0,
176,Biperidn,Biperiden,Biperiden,1,Mupirocin,0,Phenytoin,0,
177,Bieridn,Biperiden,Phenytoin,0,Pyrantel,0,Urea,0,
178,BisoprolSl,Bisoprolol,Bisoprolol,1,Misoprostol,0,Verapamil,0,
179,BisoprolDl,Bisoprolol,Bisoprolol,1,Misoprostol,0,Ulipristal,0,
180,BisoproClol,Bisoprolol,Bisoprolol,1,Misoprostol,0,Ulipristal,0,
181,BisoproCJlol,Bisoprolol,Bisoprolol,1,Misoprostol,0,Ulipristal,0,
182,Bsoprolol,Bisoprolol,Bisoprolol,1,Propofol,0,Propranolol,0,
183,Bleomyin,Bleomycin,Bleomycin,1,Iodine,0,Thiamine,0,
184,BlJomycin,Bleomycin,Bleomycin,1,Plazomicin,0,Natamycin,0,
185,ortezomib,Bortezomib,Bortezomib,1,Rituximab,0,Erlotinib,0,
186,Bortezomirb,Bortezomib,Bortezomib,1,Rituximab,0,Pyridoxine,0,
187,Bortezonmirb,Bortezomib,Bortezomib,1,Rituximab,0,Pyridoxine,0,
188,BoEtezomib,Bortezomib,Rituximab,0,Bortezomib,1,Bedaquiline,0,
189,BzEtezomib,Bortezomib,Rituximab,0,Bortezomib,1,Oxamniquine,0,
190,HBudesonide,Budesonide,Budesonide,1,Ethionamide,0,Furosemide,0,
191,Fudesonide,Budesonide,Budesonide,1,Furosemide,0,Artesunate,0,
192,FudesZnide,Budesonide,Furosemide,0,Budesonide,1,Ethionamide,0,
193,Budesonid/formoterol,Budesonide/formoterol,Budesonide/formoterol,1,Potassium chloride,0,Artesunate/amodiaquine,0,
194,Budesonid/formoteol,Budesonide/formoterol,Budesonide/formoterol,1,Potassium chloride,0,Phytomenadione,0,
195,Buivacaine,Bupivacaine,Bupivacaine,1,Cefixime,0,Lidocaine,0,
196,BupivacainNBupivacaine,Bupivacaine,Hepatitis B vaccine,0,Hepatitis A vaccine,0,Pneumococcal vaccine,0,
197,Bbupropion,Bupropion,Bupropion,1,Biperiden,0,Tiotropium,0,
198,Bbyupropion,Bupropion,Bupropion,1,Biperiden,0,Tiotropium,0,
199,BuJropion,Bupropion,Bupropion,1,Tiotropium,0,Phenytoin,0,
200,WuJropion,Bupropion,Bupropion,1,Tiotropium,0,Atropine,0,
201,Pupropion,Bupropion,Bupropion,1,Biperiden,0,Tiotropium,0,
202,Caffeine citratZCaffeine citrate,Caffeine citrate,Glucose with sodium chloride,0,Medroxyprogesterone acetate,0,Nicotine replacement therapy,0,
203,Caffeine citratZCafLeine citrate,Caffeine citrate,Glucose with sodium chloride,0,Sodium stibogluconate,0,Sodium calcium edetate,0,
204,Caffeine citraRe,Caffeine citrate,Caffeine citrate,1,Sodium nitrite,0,Suramin sodium,0,
205,CalAamine,Calamine,Calamine,1,Ketamine,0,Delamanid,0,
206,Malamine,Calamine,Calamine,1,Naloxone,0,Ketamine,0,
207,Cealamine,Calamine,Calamine,1,Ketamine,0,Delamanid,0,
208,Cealavmine,Calamine,Calamine,1,Ketamine,0,Clomifene,0,
209,CalcipoRtriol,Calcipotriol,Calcipotriol,1,Haloperidol,0,Allopurinol,0,
210,COalcipoRtriol,Calcipotriol,Calcipotriol,1,Haloperidol,0,Allopurinol,0,
211,Calaipotriol,Calcipotriol,Calcipotriol,1,Salbutamol,0,Clopidogrel,0,
212,alcium,Calcium,Calcium,1,Iohexol,0,Urea,0,
213,CalciuzCalcium,Calcium,Cefazolin,0,Cloxacillin,0,Tuberculin,0,
214,Calium,Calcium,Calcium,1,Senna,0,Codeine,0,
215,Calcium foliWnate,Calcium folinate,Calcium folinate,1,Calcium gluconate,0,Sodium chloride,0,
216,Calcium folipWnate,Calcium folinate,Calcium folinate,1,Calcium gluconate,0,Sodium chloride,0,
217,Calcium folinOte,Calcium folinate,Calcium folinate,1,Calcium gluconate,0,Sodium chloride,0,
218,Cacium folinate,Calcium folinate,Calcium folinate,1,Acetazolamide,0,Calcium gluconate,0,
219,Ccium folinate,Calcium folinate,Calcium folinate,1,Lenalidomide,0,Acetazolamide,0,
220,Calcium gluconatMe,Calcium gluconate,Calcium gluconate,1,Calcium folinate,0,Lenalidomide,0,
221,Calciuam gluconatMe,Calcium gluconate,Calcium gluconate,1,Calcium folinate,0,Lenalidomide,0,
222,Calciuem gluconate,Calcium gluconate,Calcium gluconate,1,Calcium folinate,0,Niclosamide,0,
223,Clcium gluconate,Calcium gluconate,Calcium gluconate,1,Calcium folinate,0,Lenalidomide,0,
224,Clcium gluonate,Calcium gluconate,Calcium folinate,0,Calcium gluconate,1,Sodium chloride,0,
225,Cavpecitabine,Capecitabine,Capecitabine,1,Carbamazepine,0,Ceftazidime,0,
226,CavpecTitabine,Capecitabine,Capecitabine,1,Carbamazepine,0,Simvastatin,0,
227,Capecgitabine,Capecitabine,Capecitabine,1,Carbamazepine,0,Gemcitabine,0,
228,Capcitabine,Capecitabine,Capecitabine,1,Gemcitabine,0,Cefotaxime,0,
229,apcitabine,Capecitabine,Capecitabine,1,Gemcitabine,0,Amlodipine,0,
230,CarbamazepiNe,Carbamazepine,Carbamazepine,1,Capecitabine,0,Chlorpromazine,0,
231,Carbamazepide,Carbamazepine,Carbamazepine,1,Capecitabine,0,Terbinafine,0,
232,Carbeiocin,Carbetocin,Carbetocin,1,Meropenem,0,Cisplatin,0,
233,Carbenocin,Carbetocin,Carbetocin,1,Gentamicin,0,Fosfomycin,0,
234,CarbHnocin,Carbetocin,Carbetocin,1,Cisplatin,0,Natamycin,0,
235,JCarboplatin,Carboplatin,Carboplatin,1,Cisplatin,0,Carbetocin,0,
236,Cefaaexin,Cefalexin,Cefixime,0,Cefalexin,1,Cefazolin,0,
237,Cefaaeain,Cefalexin,Senna,0,Calcium,0,Codeine,0,
238,Cefalehxin,Cefalexin,Cefalexin,1,Cefuroxime,0,Cefotaxime,0,
239,Cefealehxin,Cefalexin,Cefalexin,1,Cefuroxime,0,Cefotaxime,0,
240,Cefaolin,Cefazolin,Cefalexin,0,Cefazolin,1,Cefixime,0,
241,CBefazolin,Cefazolin,Cefazolin,1,Midazolam,0,Cefixime,0,
242,CBefazolHin,Cefazolin,Cefazolin,1,Midazolam,0,Cefixime,0,
243,CefiderocGl,Cefiderocol,Cefiderocol,1,Cefotaxime,0,Efavirenz,0,
244,CeHiderocGl,Cefiderocol,Cefiderocol,1,Codeine,0,Ketamine,0,
245,Cefiderocol,Cefiderocol,Cefiderocol,1,Cefotaxime,0,Nifedipine,0,
246,CefixJme,Cefixime,Cefixime,1,Codeine,0,Cyclizine,0,
247,nefixJme,Cefixime,Naloxone,0,Mefloquine,0,Cefixime,1,
248,efixime,Cefixime,Cefixime,1,Halothane,0,Mefloquine,0,
249,Cefrixime,Cefixime,Cefuroxime,0,Ceftriaxone,0,Cefixime,1,
250,Cwefrixime,Cefixime,Cefuroxime,0,Ceftriaxone,0,Cefixime,1,
251,Cefothxime,Cefotaxime,Cefixime,0,Cefotaxime,1,Sulfadiazine,0,
252,CJfothxime,Cefotaxime,Cefixime,0,Cefotaxime,1,Sulfadiazine,0,
253,CefotaKime,Cefotaxime,Cefotaxime,1,Sulfadiazine,0,Cefuroxime,0,
254,CefLotaxime,Cefotaxime,Cefotaxime,1,Cefuroxime,0,Sulfadiazine,0,
255,CefLSotaxime,Cefotaxime,Sulfadiazine,0,Cefotaxime,1,Capecitabine,0,
256,Cefcazidime,Ceftazidime,Ceftazidime,1,Cefotaxime,0,Cefixime,0,
257,CefcazidimdCefcazidime,Ceftazidime,Ceftazidime/avibactam,0,Povidone iodine,0,Acetylcysteine,0,
258,Ceftabidime,Ceftazidime,Ceftazidime,1,Zidovudine,0,Ceftriaxone,0,
259,CeftabidLme,Ceftazidime,Ceftazidime,1,Nifedipine,0,Zidovudine,0,
260,Ceftazidime/avibacotam,Ceftazidime/avibactam,Ceftazidime/avibactam,1,Lamivudine/zidovudine,0,Sulfadoxine/pyrimethamine,0,
261,Ceftazidimeu/avibacotam,Ceftazidime/avibactam,Ceftazidime/avibactam,1,Lamivudine/zidovudine,0,Sulfadoxine/pyrimethamine,0,
262,CeftaDidime/avibactam,Ceftazidime/avibactam,Ceftazidime/avibactam,1,Meropenem/vaborbactam,0,Piperacillin/tazobactam,0,
