Column1,Typo,Target,Match 1,Match 12,Match 2,Match 22,Match 3,Column4,Column5
82,Anti-rabies impunoglobulin,Anti-rabies immunoglobulin,Anti-rabies immunoglobulin,1,Rabies vaccine,0,Equine rabies immunoglobulin,0,
83,AntiNrabies impunoglobulin,Anti-rabies immunoglobulin,Anti-rabies immunoglobulin,1,Equine rabies immunoglobulin,0,Antivenom immunoglobulin,0,
84,Apnti-rabies immunoglobulin,Anti-rabies immunoglobulin,Anti-rabies immunoglobulin,1,Rabies vaccine,0,Equine rabies immunoglobulin,0,
85,Anti-tetanus immunoglbulin,Anti-tetanus immunoglobulin,Anti-tetanus immunoglobulin,1,Tetanus vaccine,0,Anti-rabies immunoglobulin,0,
86,Anti-tetanus immunogobulin,Anti-tetanus immunoglobulin,Anti-tetanus immunoglobulin,1,Tetanus vaccine,0,Anti-rabies immunoglobulin,0,
87,Anti-tetaus immunogobulin,Anti-tetanus immunoglobulin,Anti-tetanus immunoglobulin,1,Anti-rabies immunoglobulin,0,Antivenom immunoglobulin,0,
88,Antivenom imQunoglobulin,Antivenom immunoglobulin,Antivenom immunoglobulin,1,Anti-tetanus immunoglobulin,0,Normal immunoglobulin,0,
89,Anivenom immunoglobulin,Antivenom immunoglobulin,Antivenom immunoglobulin,1,Normal immunoglobulin,0,Anti-tetanus immunoglobulin,0,
90,ApreKitant,Aprepitant,Aprepitant,1,Capecitabine,0,Sumatriptan,0,
91,Apepitant,Aprepitant,Aprepitant,1,Capecitabine,0,Intraperitoneal dialysis solution,0,
92,Asenic trioxide,Arsenic trioxide,Arsenic trioxide,1,Nitrous oxide,0,Diloxanide,0,
93,ArtemeVher,Artemether,Artemether,1,Artemether/lumefantrine,0,Estradiol cypionate/medroxyprogesterone acetate,0,
94,Artemetier,Artemether,Artemether,1,Artemether/lumefantrine,0,Artesunate,0,
95,Artemether/lumefantrine,Artemether/lumefantrine,Artemether/lumefantrine,1,Artemether,0,Atropine,0,
96,Artemether/lumfantrine,Artemether/lumefantrine,Artemether/lumefantrine,1,Artemether,0,Atropine,0,
97,Artmether/lumfantrine,Artemether/lumefantrine,Artemether/lumefantrine,1,Artemether,0,Atropine,0,
98,Arhtesunate,Artesunate,Artesunate,1,Artesunate/mefloquine,0,Artesunate/pyronaridine tetraphosphate,0,
99,ArhtesuAnate,Artesunate,Artesunate,1,Artesunate/amodiaquine,0,Artesunate/mefloquine,0,
100,ArtesunatzArtesunate,Artesunate,Artesunate,1,Mesna,0,Artesunate/mefloquine,0,
101,Artesunte,Artesunate,Artesunate,1,Artesunate/amodiaquine,0,Artesunate/mefloquine,0,
102,Artesunate/amodiagquine,Artesunate/amodiaquine,Artesunate/amodiaquine,1,Artesunate,0,Artesunate/pyronaridine tetraphosphate,0,
103,Artesunate/camodiagquine,Artesunate/amodiaquine,Artesunate/amodiaquine,1,Artesunate,0,Artesunate/pyronaridine tetraphosphate,0,
104,Artesunate/mefloUuine,Artesunate/mefloquine,Artesunate/mefloquine,1,Artesunate,0,Artesunate/pyronaridine tetraphosphate,0,
105,Artesunate/meloquine,Artesunate/mefloquine,Artesunate/mefloquine,1,Artesunate,0,Artesunate/pyronaridine tetraphosphate,0,
106,Artesunate/meflotquine,Artesunate/mefloquine,Artesunate/mefloquine,1,Artesunate,0,Artesunate/pyronaridine tetraphosphate,0,
107,Artesunate/pyronaridine teraphosphate,Artesunate/pyronaridine tetraphosphate,Artesunate/pyronaridine tetraphosphate,1,Artesunate,0,Artesunate/mefloquine,0,
108,Artesunae/pyronaridine teraphosphate,Artesunate/pyronaridine tetraphosphate,Artesunate/pyronaridine tetraphosphate,1,Artesunate,0,Iodine,0,
109,Akrtesunate/pyronaridine tetraphosphate,Artesunate/pyronaridine tetraphosphate,Artesunate/pyronaridine tetraphosphate,1,Artesunate,0,Iodine,0,
110,Artesunate/pyronaridine tetraKhosphate,Artesunate/pyronaridine tetraphosphate,Artesunate/pyronaridine tetraphosphate,1,Artesunate,0,Artesunate/mefloquine,0,
111,ArtesunYte/pyronaridine tetraKhosphate,Artesunate/pyronaridine tetraphosphate,Artesunate/pyronaridine tetraphosphate,1,Artesunate,0,Iodine,0,
112,Ascorbic aGid,Ascorbic acid,Ascorbic acid,1,Acetic acid,0,Valproic acid,0,
113,Asaraginase,Asparaginase,Asparaginase,1,Pegaspargase,0,Dacarbazine,0,
114,Asaragnase,Asparaginase,Asparaginase,1,Pegaspargase,0,Rasburicase,0,
115,Asparraginase,Asparaginase,Asparaginase,1,Pegaspargase,0,Sertraline,0,
116,AsparraginaXse,Asparaginase,Asparaginase,1,Pegaspargase,0,Sertraline,0,
117,Atazanavir/ritYnavir,Atazanavir/ritonavir,Atazanavir/ritonavir,1,Ritonavir,0,Lopinavir/ritonavir,0,
118,AtracuriCm,Atracurium,Atracurium,1,Tacrolimus,0,Rasburicase,0,
119,AtraLuriCm,Atracurium,Atracurium,1,Rasburicase,0,Warfarin,0,
120,Atracurim,Atracurium,Atracurium,1,Tacrolimus,0,Warfarin,0,
121,Atopine,Atropine,Atropine,1,Azathioprine,0,Amlodipine,0,
122,AtrGopine,Atropine,Atropine,1,Lamotrigine,0,Azathioprine,0,
123,AtrGoEpine,Atropine,Atropine,1,Ergometrine,0,Lamotrigine,0,
124,AtrAopine,Atropine,Atropine,1,Azathioprine,0,Carbamazepine,0,
125,Azathiopgrine,Azathioprine,Azathioprine,1,Atropine,0,Tioguanine,0,
126,Azatyhiopgrine,Azathioprine,Azathioprine,1,Atropine,0,Tioguanine,0,
127,Azathikoprine,Azathioprine,Azathioprine,1,Atropine,0,Dopamine,0,
128,PAzathioprine,Azathioprine,Azathioprine,1,Atropine,0,Paliperidone,0,
129,AGithromycin,Azithromycin,Azithromycin,1,Clarithromycin,0,Erythromycin,0,
130,AGivhromycin,Azithromycin,Azithromycin,1,Clarithromycin,0,Paromomycin,0,
131,Azithrolycin,Azithromycin,Azithromycin,1,Clarithromycin,0,Erythromycin,0,
132,Azithrolylin,Azithromycin,Azithromycin,1,Clarithromycin,0,Amitriptyline,0,
133,Barium sulate,Barium sulfate,Barium sulfate,1,Magnesium sulfate,0,Sodium thiosulfate,0,
134,Barium sulae,Barium sulfate,Barium sulfate,1,Magnesium sulfate,0,Sodium thiosulfate,0,
135,Bariu sulfate,Barium sulfate,Barium sulfate,1,Magnesium sulfate,0,Zinc sulfate,0,
136,ariu sulfate,Barium sulfate,Barium sulfate,1,Magnesium sulfate,0,Zinc sulfate,0,
137,Oarium sulfate,Barium sulfate,Barium sulfate,1,Magnesium sulfate,0,Sodium thiosulfate,0,
138,Oarium sulfUte,Barium sulfate,Barium sulfate,1,Magnesium sulfate,0,Sodium thiosulfate,0,
139,aCG vaccine,BCG vaccine,BCG vaccine,1,Diphtheria vaccine,0,Pneumococcal vaccine,0,
140,Bedaquisine,Bedaquiline,Bedaquiline,1,Bendamustine,0,Quinine,0,
141,Uedaquiline,Bedaquiline,Bedaquiline,1,Quinine,0,Urea,0,
142,BendamustinzBendamustine,Bendamustine,Bendamustine,1,Dasatinib,0,Pentamidine,0,
143,endamustine,Bendamustine,Bendamustine,1,Bedaquiline,0,Pentamidine,0,
144,Benzathine benzylpeicillin,Benzathine benzylpenicillin,Benzathine benzylpenicillin,1,Benzylpenicillin,0,Procaine benzylpenicillin,0,
145,Benzathine benzylpenicilltin,Benzathine benzylpenicillin,Benzathine benzylpenicillin,1,Benzylpenicillin,0,Procaine benzylpenicillin,0,
146,Benzathinse benzylpenicilltin,Benzathine benzylpenicillin,Benzathine benzylpenicillin,1,Benzylpenicillin,0,Procaine benzylpenicillin,0,
147,BenzathiNe benzylpenicillin,Benzathine benzylpenicillin,Benzathine benzylpenicillin,1,Benzylpenicillin,0,Procaine benzylpenicillin,0,
148,BenzathiNe benzylpeiicillin,Benzathine benzylpenicillin,Benzathine benzylpenicillin,1,Benzylpenicillin,0,Procaine benzylpenicillin,0,
149,Benzniazole,Benznidazole,Benznidazole,1,Albendazole,0,Mebendazole,0,
150,Benznidazle,Benznidazole,Benznidazole,1,Mebendazole,0,Albendazole,0,
151,enznidazle,Benznidazole,Benznidazole,1,Fexinidazole,0,Metronidazole,0,
152,Benzidazole,Benznidazole,Benznidazole,1,Albendazole,0,Mebendazole,0,
153,senzoyl peroxide,Benzoyl peroxide,Benzoyl peroxide,1,Biperiden,0,Loperamide,0,
154,Banzoyl peroxide,Benzoyl peroxide,Benzoyl peroxide,1,Biperiden,0,Loperamide,0,
155,Benzoyl peroide,Benzoyl peroxide,Benzoyl peroxide,1,Loperamide,0,Benzyl benzoate,0,
156,Benoyl peroide,Benzoyl peroxide,Benzoyl peroxide,1,Biperiden,0,Benzyl benzoate,0,
157,Benzyl benpoate,Benzyl benzoate,Benzyl benzoate,1,Benzoyl peroxide,0,Benzathine benzylpenicillin,0,
158,Benzyl benToate,Benzyl benzoate,Benzyl benzoate,1,Benzoyl peroxide,0,Benzathine benzylpenicillin,0,
159,Benzyl bengzoate,Benzyl benzoate,Benzyl benzoate,1,Benzathine benzylpenicillin,0,Benzoyl peroxide,0,
160,Bejnzyl bengzoate,Benzyl benzoate,Benzyl benzoate,1,Benzoyl peroxide,0,Albendazole,0,
161,Benzylpenicilin,Benzylpenicillin,Benzylpenicillin,1,Benzathine benzylpenicillin,0,Procaine benzylpenicillin,0,
162,Benzlpenicilin,Benzylpenicillin,Benzylpenicillin,1,Procaine benzylpenicillin,0,Benzathine benzylpenicillin,0,
163,Betamehasone,Betamethasone,Betamethasone,1,Dexamethasone,0,Methadone,0,
164,Betamethnsone,Betamethasone,Betamethasone,1,Dexamethasone,0,Methadone,0,
165,BetamethnsAne,Betamethasone,Betamethasone,1,Dexamethasone,0,Methadone,0,
166,Bevbacizumab,Bevacizumab,Bevacizumab,1,Calcium,0,Adalimumab,0,
167,Bevbacizukmab,Bevacizumab,Bevacizumab,1,Calcium,0,Adalimumab,0,
168,lBevacizumab,Bevacizumab,Bevacizumab,1,Calcium,0,Adalimumab,0,
169,lBevacizuKmab,Bevacizumab,Bevacizumab,1,Calcium,0,Adalimumab,0,
170,Bevaczumab,Bevacizumab,Bevacizumab,1,Trastuzumab,0,Nivolumab,0,
171,Bicalurtamide,Bicalutamide,Bicalutamide,1,Urea,0,Niclosamide,0,
172,BicaYlurtamide,Bicalutamide,Bicalutamide,1,Urea,0,Niclosamide,0,
173,BicalButamide,Bicalutamide,Bicalutamide,1,Niclosamide,0,Calamine,0,
174,Biperidgen,Biperiden,Biperiden,1,Risperidone,0,Paliperidone,0,
175,Biperildgen,Biperiden,Biperiden,1,Risperidone,0,Paliperidone,0,
176,Biperidn,Biperiden,Biperiden,1,Paliperidone,0,Risperidone,0,
177,Bieridn,Biperiden,Biperiden,1,Risperidone,0,Paliperidone,0,
178,BisoprolSl,Bisoprolol,Bisoprolol,1,Misoprostol,0,Tenofovir disoproxil fumarate,0,
179,BisoprolDl,Bisoprolol,Bisoprolol,1,Misoprostol,0,Tenofovir disoproxil fumarate,0,
180,BisoproClol,Bisoprolol,Bisoprolol,1,Misoprostol,0,Propranolol,0,
181,BisoproCJlol,Bisoprolol,Bisoprolol,1,Misoprostol,0,Propranolol,0,
182,Bsoprolol,Bisoprolol,Bisoprolol,1,Propranolol,0,Misoprostol,0,
183,Bleomyin,Bleomycin,Bleomycin,1,Erythromycin,0,Hydroxocobalamin,0,
184,BlJomycin,Bleomycin,Bleomycin,1,Plazomicin,0,Fosfomycin,0,
185,ortezomib,Bortezomib,Bortezomib,1,Dihydroartemisinin/piperaquine phosphate,0,Hydrochlorothiazide,0,
186,Bortezomirb,Bortezomib,Bortezomib,1,Bleomycin,0,Ibrutinib,0,
187,Bortezonmirb,Bortezomib,Bortezomib,1,Ibrutinib,0,Ritonavir,0,
188,BoEtezomib,Bortezomib,Bortezomib,1,Metformin,0,Bleomycin,0,
189,BzEtezomib,Bortezomib,Bortezomib,1,Bleomycin,0,Metformin,0,
190,HBudesonide,Budesonide,Budesonide,1,Budesonide/formoterol,0,Diloxanide,0,
191,Fudesonide,Budesonide,Budesonide,1,Budesonide/formoterol,0,Fluoride,0,
192,FudesZnide,Budesonide,Budesonide,1,Budesonide/formoterol,0,Furosemide,0,
193,Budesonid/formoterol,Budesonide/formoterol,Budesonide/formoterol,1,Budesonide,0,Omeprazole,0,
194,Budesonid/formoteol,Budesonide/formoterol,Budesonide/formoterol,1,Budesonide,0,Iohexol,0,
195,Buivacaine,Bupivacaine,Bupivacaine,1,BCG vaccine,0,Rabies vaccine,0,
196,BupivacainNBupivacaine,Bupivacaine,Bupivacaine,1,Lidocaine,0,Mupirocin,0,
197,Bbupropion,Bupropion,Bupropion,1,Mupirocin,0,Ibuprofen,0,
198,Bbyupropion,Bupropion,Bupropion,1,Mupirocin,0,Ibuprofen,0,
199,BuJropion,Bupropion,Bupropion,1,Atropine,0,Mupirocin,0,
200,WuJropion,Bupropion,Bupropion,1,Atropine,0,Mupirocin,0,
201,Pupropion,Bupropion,Bupropion,1,Mupirocin,0,Leuprorelin,0,
202,Caffeine citratZCaffeine citrate,Caffeine citrate,Caffeine citrate,1,Entecavir,0,Meglumine iotroxate,0,
203,Caffeine citratZCafLeine citrate,Caffeine citrate,Caffeine citrate,1,Calamine,0,Entecavir,0,
204,Caffeine citraRe,Caffeine citrate,Caffeine citrate,1,Entecavir,0,Meglumine iotroxate,0,
205,CalAamine,Calamine,Calamine,1,Clofazimine,0,Hydroxocobalamin,0,
206,Malamine,Calamine,Calamine,1,Hydroxocobalamin,0,Penicillamine,0,
207,Cealamine,Calamine,Calamine,1,Acetazolamide,0,Ketamine,0,
208,Cealavmine,Calamine,Calamine,1,Acetazolamide,0,Clofazimine,0,
209,CalcipoRtriol,Calcipotriol,Calcipotriol,1,Retinol,0,Clotrimazole,0,
210,COalcipoRtriol,Calcipotriol,Calcipotriol,1,Retinol,0,Colecalciferol,0,
211,Calaipotriol,Calcipotriol,Calcipotriol,1,Enalapril,0,Clotrimazole,0,
212,alcium,Calcium,Calcium,1,Calcium gluconate,0,Calcium folinate,0,
213,CalciuzCalcium,Calcium,Calcium,1,Sodium calcium edetate,0,Salicylic acid,0,
214,Calium,Calcium,Calcium,1,Calcium gluconate,0,Adalimumab,0,
215,Calcium foliWnate,Calcium folinate,Calcium folinate,1,Calcium,0,Calcium gluconate,0,
216,Calcium folipWnate,Calcium folinate,Calcium folinate,1,Calcium,0,Calcium gluconate,0,
217,Calcium folinOte,Calcium folinate,Calcium folinate,1,Calcium,0,Calcium gluconate,0,
218,Cacium folinate,Calcium folinate,Calcium folinate,1,Calcium,0,Calcium gluconate,0,
219,Ccium folinate,Calcium folinate,Calcium folinate,1,Calcium gluconate,0,Calcium,0,
220,Calcium gluconatMe,Calcium gluconate,Calcium gluconate,1,Calcium,0,Calcium folinate,0,
221,Calciuam gluconatMe,Calcium gluconate,Calcium gluconate,1,Calcium,0,Calcium folinate,0,
222,Calciuem gluconate,Calcium gluconate,Calcium gluconate,1,Calcium,0,Calcium folinate,0,
223,Clcium gluconate,Calcium gluconate,Calcium gluconate,1,Calcium,0,Calcium folinate,0,
224,Clcium gluonate,Calcium gluconate,Calcium gluconate,1,Calcium,0,Calcium folinate,0,
225,Cavpecitabine,Capecitabine,Capecitabine,1,Gemcitabine,0,Emtricitabine/tenofovir,0,
226,CavpecTitabine,Capecitabine,Capecitabine,1,Gemcitabine,0,Thiamine,0,
227,Capecgitabine,Capecitabine,Capecitabine,1,Gemcitabine,0,Emtricitabine/tenofovir,0,
228,Capcitabine,Capecitabine,Capecitabine,1,Gemcitabine,0,Cytarabine,0,
229,apcitabine,Capecitabine,Capecitabine,1,Gemcitabine,0,Emtricitabine/tenofovir,0,
230,CarbamazepiNe,Carbamazepine,Carbamazepine,1,Dacarbazine,0,Procarbazine,0,
231,Carbamazepide,Carbamazepine,Carbamazepine,1,Dacarbazine,0,Diethylcarbamazine,0,
232,Carbeiocin,Carbetocin,Carbetocin,1,Varenicline,0,Clarithromycin,0,
233,Carbenocin,Carbetocin,Carbetocin,1,Varenicline,0,Carboplatin,0,
234,CarbHnocin,Carbetocin,Carbetocin,1,Carboplatin,0,Clarithromycin,0,
235,JCarboplatin,Carboplatin,Carboplatin,1,Cisplatin,0,Riboflavin,0,
236,Cefaaexin,Cefalexin,Cefalexin,1,Cefazolin,0,Cefotaxime,0,
237,Cefaaeain,Cefalexin,Cefalexin,1,Cefazolin,0,Calamine,0,
238,Cefalehxin,Cefalexin,Cefalexin,1,Cefazolin,0,Cefotaxime,0,
239,Cefealehxin,Cefalexin,Cefalexin,1,Cefazolin,0,Cefotaxime,0,
240,Cefaolin,Cefazolin,Cefazolin,1,Cefalexin,0,Xylometazoline,0,
241,CBefazolin,Cefazolin,Cefazolin,1,Cefalexin,0,Acetazolamide,0,
242,CBefazolHin,Cefazolin,Cefazolin,1,Cefalexin,0,Acetazolamide,0,
243,CefiderocGl,Cefiderocol,Cefiderocol,1,Colecalciferol,0,Ceftazidime,0,
244,CeHiderocGl,Cefiderocol,Cefiderocol,1,Colecalciferol,0,Clopidogrel,0,
245,Cefiderocol,Cefiderocol,Cefiderocol,1,Colecalciferol,0,Dimercaprol,0,
246,CefixJme,Cefixime,Cefixime,1,Cefotaxime,0,Cefuroxime,0,
247,nefixJme,Cefixime,Cefixime,1,Cefuroxime,0,Cefotaxime,0,
248,efixime,Cefixime,Cefixime,1,Cefuroxime,0,Cefotaxime,0,
249,Cefrixime,Cefixime,Cefixime,1,Cefuroxime,0,Cefotaxime,0,
250,Cwefrixime,Cefixime,Cefixime,1,Cefuroxime,0,Cefotaxime,0,
251,Cefothxime,Cefotaxime,Cefotaxime,1,Cefuroxime,0,Cefixime,0,
252,CJfothxime,Cefotaxime,Cefotaxime,1,Cefuroxime,0,Cefixime,0,
253,CefotaKime,Cefotaxime,Cefotaxime,1,Ceftazidime,0,Cefuroxime,0,
254,CefLotaxime,Cefotaxime,Cefotaxime,1,Cefuroxime,0,Cefixime,0,
255,CefLSotaxime,Cefotaxime,Cefotaxime,1,Cefuroxime,0,Cefixime,0,
256,Cefcazidime,Ceftazidime,Ceftazidime,1,Ceftazidime/avibactam,0,Cefixime,0,
257,CefcazidimdCefcazidime,Ceftazidime,Ceftazidime,1,Cefazolin,0,Iodine,0,
258,Ceftabidime,Ceftazidime,Ceftazidime,1,Ceftazidime/avibactam,0,Cefotaxime,0,
259,CeftabidLme,Ceftazidime,Ceftazidime,1,Cefotaxime,0,Ceftazidime/avibactam,0,
260,Ceftazidime/avibacotam,Ceftazidime/avibactam,Ceftazidime/avibactam,1,Ceftazidime,0,Cefotaxime,0,
261,Ceftazidimeu/avibacotam,Ceftazidime/avibactam,Ceftazidime/avibactam,1,Ceftazidime,0,Cefotaxime,0,
262,CeftaDidime/avibactam,Ceftazidime/avibactam,Ceftazidime/avibactam,1,Ceftazidime,0,Cefotaxime,0,
263,CeftaDidime/vvibactam,Ceftazidime/avibactam,Ceftazidime/avibactam,1,Ceftazidime,0,Cefotaxime,0,
