,0,1
241,CBefazolin,Cefazolin
242,CBefazolHin,Cefazolin
243,CefiderocGl,Cefiderocol
244,CeHiderocGl,Cefiderocol
245,Cefiderocol,Cefiderocol
246,CefixJme,Cefixime
247,nefixJme,Cefixime
248,efixime,Cefixime
249,Cefrixime,Cefixime
250,Cwefrixime,Cefixime
251,Cefothxime,Cefotaxime
252,CJfothxime,Cefotaxime
253,CefotaKime,Cefotaxime
254,CefLotaxime,Cefotaxime
255,CefLSotaxime,Cefotaxime
256,Cefcazidime,Ceftazidime
257,CefcazidimdCefcazidime,Ceftazidime
258,Ceftabidime,Ceftazidime
259,CeftabidLme,Ceftazidime
260,Ceftazidime/avibacotam,Ceftazidime/avibactam
261,Ceftazidimeu/avibacotam,Ceftazidime/avibactam
262,CeftaDidime/avibactam,Ceftazidime/avibactam
263,CeftaDidime/vvibactam,Ceftazidime/avibactam
264,Ceftazidime/aqvibactam,Ceftazidime/avibactam
265,Ceftazidicme/aqvibactam,Ceftazidime/avibactam
266,Cfftriaxone,Ceftriaxone
267,Ceftiaxone,Ceftriaxone
268,Ceftriacxone,Ceftriaxone
269,CXeftriacxone,Ceftriaxone
270,Cefuoxime,Cefuroxime
271,CefuroximtCefuroxime,Cefuroxime
272,CdfuroximtCefuroxime,Cefuroxime
273,Cfuroxime,Cefuroxime
274,"Charcoal,activated","Charcoal, activated"
275,"Charcoal, activatjed","Charcoal, activated"
276,"Charcoal, activaZtjed","Charcoal, activated"
277,ChlorambucikChlorambucil,Chlorambucil
278,Chorambucil,Chlorambucil
279,ChlorambuGil,Chlorambucil
280,ChlorampCenicol,Chloramphenicol
281,ChloramUphenicol,Chloramphenicol
282,Chlorampheniccol,Chloramphenicol
283,Chlorheidine,Chlorhexidine
284,Chlorhexiine,Chlorhexidine
285,Chlohexidine,Chlorhexidine
286,Chohexidine,Chlorhexidine
287,Chlorine base comfound,Chlorine base compound
288,Chlorine basehcomfound,Chlorine base compound
289,Chlorine base comHound,Chlorine base compound
290,ChloroquGne,Chloroquine
291,ChloroauGne,Chloroquine
292,Chloroquie,Chloroquine
293,Chloroxyenol,Chloroxylenol
294,mChloroxylenol,Chloroxylenol
295,Chlorpromaozine,Chlorpromazine
296,Chlorprosazine,Chlorpromazine
297,Chborprosazine,Chlorpromazine
298,Chmlorpromazine,Chlorpromazine
299,CholRra vaccine,Cholera vaccine
300,Ciclosporion,Ciclosporin
301,Ciproloxacin,Ciprofloxacin
302,Ciprofjloxacin,Ciprofloxacin
303,Ciprofjljoxacin,Ciprofloxacin
304,Ciprofoxacin,Ciprofloxacin
305,iprofoxacin,Ciprofloxacin
306,Cisvlatin,Cisplatin
307,qisvlatin,Cisplatin
308,Clarithromyin,Clarithromycin
309,Clarihromyin,Clarithromycin
310,Clindamyyin,Clindamycin
311,ClindamyyimClindamyyin,Clindamycin
312,Clijndamycin,Clindamycin
313,ClindamyciClindamycin,Clindamycin
314,Clofazsimine,Clofazimine
315,ClomiprQamine,Clomipramine
316,ClomiprOQamine,Clomipramine
317,Clomipqramine,Clomipramine
318,ClomipqraminCe,Clomipramine
319,Clipidogrel,Clopidogrel
320,ClipidogreLClipidogrel,Clopidogrel
321,Clotimazole,Clotrimazole
322,Clotrimazoe,Clotrimazole
323,Coxacillin,Cloxacillin
324,Coxacllin,Cloxacillin
325,Clozaine,Clozapine
326,Clgozapine,Clozapine
327,ClgEozapine,Clozapine
328,Coagulation factogr IX,Coagulation factor IX
329,Coaulation factor IX,Coagulation factor IX
330,Coaulation factor VIII,Coagulation factor VIII
331,Coauation factor VIII,Coagulation factor VIII
332,Coagulation factTor VIII,Coagulation factor VIII
333,Coagulation bfactTor VIII,Coagulation factor VIII
334,Coagulation facor VIII,Coagulation factor VIII
335,Coagultion facor VIII,Coagulation factor VIII
336,Coa tar,Coal tar
337,Ca tar,Coal tar
338,Poal tar,Coal tar
339,CoalKtar,Coal tar
340,Codeinde,Codeine
341,CodeIinde,Codeine
342,Codewne,Codeine
343,Oodeine,Codeine
344,OodGine,Codeine
345,Colecaliferol,Colecalciferol
346,Colstin,Colistin
347,olstin,Colistin
348,Colistvin,Colistin
349,HColistvin,Colistin
350,Conboms,Condoms
351,Condms,Condoms
352,CondmCondms,Condoms
353,Codoms,Condoms
354,CyclizinAe,Cyclizine
355,CKyclizine,Cyclizine
356,CKMyclizine,Cyclizine
357,Cycizine,Cyclizine
358,CyVclophosphamide,Cyclophosphamide
359,Cytarabcne,Cytarabine
360,Cytaraine,Cytarabine
361,Cytaaine,Cytarabine
362,DabigatraWn,Dabigatran
363,DabigatrPaWn,Dabigatran
364,DacFarbazine,Dacarbazine
365,DacFarbaziWne,Dacarbazine
366,Dacltasvir,Daclatasvir
367,Dactasvir,Daclatasvir
368,DaclLatasvir,Daclatasvir
369,Paclatasvir/sofosbuvir,Daclatasvir/sofosbuvir
370,Padlatasvir/sofosbuvir,Daclatasvir/sofosbuvir
371,Daclatasvir/soosbuvir,Daclatasvir/sofosbuvir
372,Daclatasvir/soobuvir,Daclatasvir/sofosbuvir
373,actinomycin,Dactinomycin
374,actinomyciactinomycin,Dactinomycin
375,Dapctinomycin,Dactinomycin
376,DactinomyciDactinomycin,Dactinomycin
377,Dapsne,Dapsone
378,Dapsne,Dapsone
379,Dapse,Dapsone
380,TDapsone,Dapsone
381,DarIunavir,Darunavir
382,DarIunjavir,Darunavir
383,DasabHuvir,Dasabuvir
384,DamsabHuvir,Dasabuvir
385,Dnsabuvir,Dasabuvir
386,Dasauuvir,Dasabuvir
387,DasauEvir,Dasabuvir
388,asatinib,Dasatinib
389,Dasatiib,Dasatinib
390,asatiib,Dasatinib
391,Dasatirnib,Dasatinib
392,DasatQirnib,Dasatinib
393,DaunorubiciUn,Daunorubicin
394,Iaunorubicin,Daunorubicin
395,Iauworubicin,Daunorubicin
396,Deferoxeamine,Deferoxamine
397,Deferoxsmine,Deferoxamine
398,Melamanid,Delamanid
399,Melamaiid,Delamanid
400,Delmanid,Delamanid
401,DengueD vaccine,Dengue vaccine
402,Dengues vaccine,Dengue vaccine
403,engue vaccine,Dengue vaccine
404,enge vaccine,Dengue vaccine
405,Desmopwressin,Desmopressin
406,Desmopwrexssin,Desmopressin
407,Desmoypressin,Desmopressin
408,mDexamethasone,Dexamethasone
409,Dexamefthasone,Dexamethasone
410,DexamefthaAsone,Dexamethasone
411,Dextman 70,Dextran 70
412,DextmaW 70,Dextran 70
413,Diqaphragms,Diaphragms
414,Diqaphracgms,Diaphragms
415,Diaphrams,Diaphragms
416,Diaprams,Diaphragms
417,Diaphrams,Diaphragms
418,DiaphramDiaphrams,Diaphragms
419,DiazeAam,Diazepam
420,DiazrAam,Diazepam
421,DCiazepam,Diazepam
422,DCazoxide,Diazoxide
423,MCazoxide,Diazoxide
424,Diazoxmide,Diazoxide
425,DiazoxmidMe,Diazoxide
426,DiazoxSide,Diazoxide
427,DiethylcarbamazinDiethylcarbamazine,Diethylcarbamazine
428,Diethjylcarbamazine,Diethylcarbamazine
429,DiethylcarbamaFine,Diethylcarbamazine
430,DiethylcarbamaFbne,Diethylcarbamazine
431,Digoxn,Digoxin
432,Digxn,Digoxin
433,DigoxiDigoxin,Digoxin
434,Digxin,Digoxin
435,Dihydroartemisinin/piperaquine phophate,Dihydroartemisinin/piperaquine phosphate
436,bihydroartemisinin/piperaquine phosphate,Dihydroartemisinin/piperaquine phosphate
437,bihydroartemisinin/piperaquine phosphaTe,Dihydroartemisinin/piperaquine phosphate
438,DimeSrcaprol,Dimercaprol
439,Diphtheriavaccine,Diphtheria vaccine
440,Diphteriavaccine,Diphtheria vaccine
441,Diiphtheria vaccine,Diphtheria vaccine
442,Diiphtheria vacciNne,Diphtheria vaccine
443,DocetJaxel,Docetaxel
444,DUocetJaxel,Docetaxel
445,Doceaxel,Docetaxel
446,Docusate sodim,Docusate sodium
447,Docusae sodim,Docusate sodium
448,Dolutwgravir,Dolutegravir
449,olutegravir,Dolutegravir
450,Doluttegravir,Dolutegravir
451,DoluttegrDavir,Dolutegravir
452,Dolutbegravir/lamivudine/tenofovir,Dolutegravir/lamivudine/tenofovir
453,Dolutgravir/lamivudine/tenofovir,Dolutegravir/lamivudine/tenofovir
454,opamine,Dopamine
455,oamine,Dopamine
456,Dopaqine,Dopamine
457,DopamEne,Dopamine
458,DrpamEne,Dopamine
459,Doxoyrubicin,Doxorubicin
460,Doxoyruvbicin,Doxorubicin
461,moxorubicin,Doxorubicin
462,moxoruGicin,Doxorubicin
463,Doxycycliue,Doxycycline
464,Doxycycmine,Doxycycline
465,Doxycycbine,Doxycycline
466,Doxycyclile,Doxycycline
467,DoxycyclLle,Doxycycline
468,Efavirbnz,Efavirenz
469,Efavrenz,Efavirenz
470,Efavairenz,Efavirenz
471,Efavirenz/emtricitabine/tenofovr,Efavirenz/emtricitabine/tenofovir
472,Efavirenz/emtrcitabine/tenofovr,Efavirenz/emtricitabine/tenofovir
473,Efavirenz/emtricitabine/tenofovBir,Efavirenz/emtricitabine/tenofovir
474,EfavirenzF/emtricitabine/tenofovir,Efavirenz/emtricitabine/tenofovir
475,Eflornitrine,Eflornithine
476,Rflornitrine,Eflornithine
477,Eflornithjine,Eflornithine
478,Empaglifloin,Empagliflozin
479,Epaglifloin,Empagliflozin
480,Emticitabine/tenofovir,Emtricitabine/tenofovir
481,Emicitabine/tenofovir,Emtricitabine/tenofovir
482,Emtricitaine/tenofovir,Emtricitabine/tenofovir
483,Emtricitain/tenofovir,Emtricitabine/tenofovir
484,EnaJlapril,Enalapril
485,EnaJlaprEil,Enalapril
486,Enlapril,Enalapril
487,Enlpril,Enalapril
488,EnalaprWl,Enalapril
489,EnalapWWl,Enalapril
490,Enoxapain,Enoxaparin
491,Enoxaparhn,Enoxaparin
492,EnoxaparhfEnoxaparhn,Enoxaparin
493,Enoxaplarin,Enoxaparin
494,Enoxyaplarin,Enoxaparin
495,EntecaviMr,Entecavir
496,Ephedrdine,Ephedrine
497,EphSdrine,Ephedrine
498,wphSdrine,Ephedrine
499,Ehedrine,Ephedrine
500,Eedrine,Ephedrine
501,Epinphrine,Epinephrine
502,EpinAphrine,Epinephrine
503,EninAphrine,Epinephrine
504,Equine rabies immunolobulin,Equine rabies immunoglobulin
505,Equinde rabies immunoglobulin,Equine rabies immunoglobulin
506,Ercgocalciferol,Ergocalciferol
507,Ergocaciferol,Ergocalciferol
508,ErgoWcalciferol,Ergocalciferol
509,ErgocWcalciferol,Ergocalciferol
510,Ergometrie,Ergometrine
511,ErgomeBrine,Ergometrine
512,Erlodtinib,Erlotinib
513,Erlotxinib,Erlotinib
514,Erythromyin,Erythromycin
515,Erythromypin,Erythromycin
516,Erythromygin,Erythromycin
517,Erythropoiesis-stimulatin agents,Erythropoiesis-stimulating agents
518,Erythropoiesis-stimuhlating agents,Erythropoiesis-stimulating agents
519,Erythropoiesis-stimuhlKating agents,Erythropoiesis-stimulating agents
520,Estradiol cypionate/medroxyprogesterone acette,Estradiol cypionate/medroxyprogesterone acetate
521,Estradiol cypionate/medroxyprogesterone acete,Estradiol cypionate/medroxyprogesterone acetate
522,Ethambutl,Ethambutol
523,Ethambupol/isoniazid/pyrazinamide/rifampicin,Ethambutol/isoniazid/pyrazinamide/rifampicin
524,Eteambupol/isoniazid/pyrazinamide/rifampicin,Ethambutol/isoniazid/pyrazinamide/rifampicin
525,Ethambutol/isniazid/pyrazinamide/rifampicin,Ethambutol/isoniazid/pyrazinamide/rifampicin
526,Ethambutol/isniazid/pyazinamide/rifampicin,Ethambutol/isoniazid/pyrazinamide/rifampicin
527,Ethambutol/isoniazid/pyrazinamide/rifampiin,Ethambutol/isoniazid/pyrazinamide/rifampicin
528,Ethambutol/isoniazidl/rifampicin,Ethambutol/isoniazid/rifampicin
529,Ethambutol/isoniazidl/rifampiBcin,Ethambutol/isoniazid/rifampicin
530,Ethambutol/isoniazid/rifapicin,Ethambutol/isoniazid/rifampicin
531,Ethambutol/isoniazidI/rifampicin,Ethambutol/isoniazid/rifampicin
532,thanol,Ethanol
533,EthanoEthanol,Ethanol
534,EthanYl,Ethanol
535,Ethinylestradio/etonogestrel,Ethinylestradiol/etonogestrel
536,Ethinylestradiol/levonorgLstrel,Ethinylestradiol/levonorgestrel
537,Ehinylestradiol/levonorgestrel,Ethinylestradiol/levonorgestrel
538,Ehinylestradiol/levonorgestel,Ethinylestradiol/levonorgestrel
539,Ethinylestradiol/leLvonorgestrel,Ethinylestradiol/levonorgestrel
540,Ethinylestradiol/leLvonorgestrRel,Ethinylestradiol/levonorgestrel
541,Ethinylestradiol/norethislterone,Ethinylestradiol/norethisterone
542,Ethinylestradiol/norethislterNone,Ethinylestradiol/norethisterone
543,EthiGnylestradiol/norethisterone,Ethinylestradiol/norethisterone
544,Ethinylestradil/norethisterone,Ethinylestradiol/norethisterone
545,Ethinylestradil/noretisterone,Ethinylestradiol/norethisterone
546,Ethzonamide,Ethionamide
547,EthosuxiRmide,Ethosuximide
548,Ethosuximde,Ethosuximide
549,EthosuximiWde,Ethosuximide
550,EthosuxwimiWde,Ethosuximide
551,EtonogFstrel-releasing implant,Etonogestrel-releasing implant
552,vEtoposide,Etoposide
553,vEtoposride,Etoposide
554,EtoposiMde,Etoposide
555,EtopoRsiMde,Etoposide
556,toposide,Etoposide
557,Eerolimus,Everolimus
558,Eeroimus,Everolimus
559,EKverolimus,Everolimus
560,EKverolifmus,Everolimus
561,EverolimuUEverolimus,Everolimus
562,cverolimuUEverolimus,Everolimus
563,FQentanyl,Fentanyl
564,FentanCl,Fentanyl
565,Fentnyl,Fentanyl
566,Ferkrous salt,Ferrous salt
567,Ferrous salt/folic aTid,Ferrous salt/folic acid
568,Ferrous salt/flic acid,Ferrous salt/folic acid
569,errous salt/flic acid,Ferrous salt/folic acid
570,Fexinqdazole,Fexinidazole
571,Fexqnqdazole,Fexinidazole
572,FilgrastieFilgrastim,Filgrastim
573,FilgraNstim,Filgrastim
574,FilgraNmstim,Filgrastim
575,Filgratim,Filgrastim
576,FluconazoDe,Fluconazole
577,FYluconazole,Fluconazole
578,FYNluconazole,Fluconazole
579,Fluconazle,Fluconazole
580,Fluonazle,Fluconazole
581,Fucytosine,Flucytosine
582,Flucytsine,Flucytosine
583,lucytsine,Flucytosine
584,Flkudarabine,Fludarabine
585,FludaZabine,Fludarabine
586,FlLdaZabine,Fludarabine
587,LFludarabine,Fludarabine
588,LFludarabinae,Fludarabine
589,FludrocTrtisone,Fludrocortisone
590,FluoresceiEn,Fluorescein
591,FluoresceiEIn,Fluorescein
592,Fuoride,Fluoride
593,uoride,Fluoride
594,FluoAride,Fluoride
595,FlRuorouracil,Fluorouracil
596,FluorouCacil,Fluorouracil
597,FluorouraJil,Fluorouracil
598,Flpphenazine,Fluphenazine
599,Fluphenawine,Fluphenazine
600,FolPc acid,Folic acid
601,Folic aGcid,Folic acid
602,FZolic aGcid,Folic acid
603,FomepizolMFomepizole,Fomepizole
604,FomepiDolMFomepizole,Fomepizole
605,FomDpizole,Fomepizole
606,FosJfomycin,Fosfomycin
607,Josfomycin,Fosfomycin
608,Fresh frozen lasma,Fresh frozen plasma
609,Freh frozen lasma,Fresh frozen plasma
610,Fresh frozOen plasma,Fresh frozen plasma
611,Furosemixde,Furosemide
612,Furtosemide,Furosemide
613,HFurtosemide,Furosemide
614,Furosemtide,Furosemide
615,Futrosemtide,Furosemide
616,Gemcitabpine,Gemcitabine
617,Gmcitabine,Gemcitabine
618,Gntamicin,Gentamicin
619,Glass ionomer cemenGlass ionomer cement,Glass ionomer cement
620,Glss ionomer cemenGlass ionomer cement,Glass ionomer cement
621,Glass ionomez cement,Glass ionomer cement
622,GlasU ionomez cement,Glass ionomer cement
623,Glecaprevir/pibreqntasvir,Glecaprevir/pibrentasvir
624,Glecaprevir/pibrenasvir,Glecaprevir/pibrentasvir
625,GliclazidNe,Gliclazide
626,JGlucagon,Glucagon
627,JGlucaAgon,Glucagon
628,GlucagodGlucagon,Glucagon
629,GlucagodGlutagon,Glucagon
630,GlWucagon,Glucagon
631,GlWucagoKn,Glucagon
632,GlucoSe,Glucose
633,Gluose,Glucose
634,GluosGluose,Glucose
635,GlucNse,Glucose
636,GluGtaral,Glutaral
637,Glyceryl rinitrate,Glyceryl trinitrate
638,Glyceryl tkrinitrate,Glyceryl trinitrate
639,Glyceryl tkriEnitrate,Glyceryl trinitrate
640,GlycerXyl trinitrate,Glyceryl trinitrate
641,GriseofulviUGriseofulvin,Griseofulvin
642,GriseofulviUGriseofulvRn,Griseofulvin
643,Gliseofulvin,Griseofulvin
644,Gniseofulvin,Griseofulvin
645,Haemophilus influenzae type b vaccinme,Haemophilus influenzae type b vaccine
646,jHaemophilus influenzae type b vaccine,Haemophilus influenzae type b vaccine
647,jHaemophilus influWenzae type b vaccine,Haemophilus influenzae type b vaccine
648,HalWoperidol,Haloperidol
649,HaylWoperidol,Haloperidol
650,Halothne,Halothane
651,HeJparin sodium,Heparin sodium
652,HepaOin sodium,Heparin sodium
653,Hepanin sodium,Heparin sodium
654,HepatitisHA vaccine,Hepatitis A vaccine
655,Hqepatitis B vaccine,Hepatitis B vaccine
656,Hqepatitis B vaccjine,Hepatitis B vaccine
657,Human papillomavirus (HPV) vaccine,Human papilloma virus (HPV) vaccine
658,Human papillPma virus (HPV) vaccine,Human papilloma virus (HPV) vaccine
659,Hydralazie,Hydralazine
660,Hydralaze,Hydralazine
661,HydrochlorothiOazide,Hydrochlorothiazide
662,Hydrochlorotbiazide,Hydrochlorothiazide
663,Hydroconrtisone,Hydrocortisone
664,HydroRcortisone,Hydrocortisone
665,Hydrocortisne,Hydrocortisone
666,Hydocortisne,Hydrocortisone
667,HydroxocobalaGin,Hydroxocobalamin
668,HydroxocoValaGin,Hydroxocobalamin
669,Hydroxocbalamin,Hydroxocobalamin
670,Hydroxocbalain,Hydroxocobalamin
671,Hydroxycafbamide,Hydroxycarbamide
672,HyKroxycafbamide,Hydroxycarbamide
673,Hydroxycafrbamide,Hydroxycarbamide
674,HydroxycXafrbamide,Hydroxycarbamide
675,Hydrooxycarbamide,Hydroxycarbamide
